Filename	EXIF:Date Taken [Y-m-d_H-M-S]	IPTC:Keywords	
B00000082_21I6LW_20150612_124707E	2015-06-12_12-47-07	Outdoors	
B00000083_21I6LW_20150612_124747E	2015-06-12_12-47-47	Outdoors	
B00000084_21I6LW_20150612_124828E	2015-06-12_12-48-27	Indoors	
B00000085_21I6LW_20150612_124900E	2015-06-12_12-49-00	Indoors	
B00000086_21I6LW_20150612_124934E	2015-06-12_12-49-33	Indoors	
B00000087_21I6LW_20150612_125004E	2015-06-12_12-50-04	Indoors	
B00000088_21I6LW_20150612_125044E	2015-06-12_12-50-44	Indoors	
B00000089_21I6LW_20150612_125123E	2015-06-12_12-51-23	Indoors	
B00000090_21I6LW_20150612_125202E	2015-06-12_12-52-02	Indoors	
B00000091_21I6LW_20150612_125237E	2015-06-12_12-52-37	Indoors	
B00000092_21I6LW_20150612_125314E	2015-06-12_12-53-14	Indoors	
B00000093_21I6LW_20150612_125350E	2015-06-12_12-53-49	Indoors	
B00000094_21I6LW_20150612_125428E	2015-06-12_12-54-28	Indoors	
B00000095_21I6LW_20150612_125507E	2015-06-12_12-55-07	Indoors	
B00000096_21I6LW_20150612_125546E	2015-06-12_12-55-46	Indoors	
B00000097_21I6LW_20150612_125618E	2015-06-12_12-56-17	Indoors	
B00000098_21I6LW_20150612_125651E	2015-06-12_12-56-50	Indoors	
B00000099_21I6LW_20150612_125724E	2015-06-12_12-57-23	Indoors	
B00000100_21I6LW_20150612_125756E	2015-06-12_12-57-56	Indoors	
B00000101_21I6LW_20150612_125837E	2015-06-12_12-58-37	Indoors	
B00000102_21I6LW_20150612_125912E	2015-06-12_12-59-12	Indoors	
B00000103_21I6LW_20150612_125953E	2015-06-12_12-59-53	Indoors	
B00000104_21I6LW_20150612_130024E	2015-06-12_13-00-24	Indoors	
B00000105_21I6LW_20150612_130055E	2015-06-12_13-00-55	Indoors	
B00000106_21I6LW_20150612_130126E	2015-06-12_13-01-26	Indoors	
B00000107_21I6LW_20150612_130156E	2015-06-12_13-01-56	Indoors	
B00000108_21I6LW_20150612_130227E	2015-06-12_13-02-27	Indoors	
B00000109_21I6LW_20150612_130307E	2015-06-12_13-03-07	Indoors	
B00000110_21I6LW_20150612_130339E	2015-06-12_13-03-39	Indoors	
B00000111_21I6LW_20150612_130414E	2015-06-12_13-04-14	Indoors	
B00000112_21I6LW_20150612_130444E	2015-06-12_13-04-44	Indoors	
B00000113_21I6LW_20150612_130517E	2015-06-12_13-05-17	Indoors	
B00000114_21I6LW_20150612_130547E	2015-06-12_13-05-47	Indoors	
B00000115_21I6LW_20150612_130629E	2015-06-12_13-06-28	Indoors	
B00000116_21I6LW_20150612_130703E	2015-06-12_13-07-03	Indoors	
B00000117_21I6LW_20150612_130744E	2015-06-12_13-07-44	Indoors	
B00000118_21I6LW_20150612_130817E	2015-06-12_13-08-17	Outdoors	
B00000119_21I6LW_20150612_130850E	2015-06-12_13-08-50	Outdoors	
B00000120_21I6LW_20150612_130927E	2015-06-12_13-09-27	Outdoors	
B00000121_21I6LW_20150612_131002E	2015-06-12_13-10-01	Indoors	
B00000122_21I6LW_20150612_131033E	2015-06-12_13-10-33	Indoors	
B00000123_21I6LW_20150612_131112E	2015-06-12_13-11-12	Indoors	
B00000124_21I6LW_20150612_131146E	2015-06-12_13-11-46	Indoors	
B00000125_21I6LW_20150612_131219E	2015-06-12_13-12-19	Indoors	
B00000126_21I6LW_20150612_131249E	2015-06-12_13-12-49	Indoors	
