"B00000069_21I6LU_20150527_083837E	2015-05-27_08-38-37	Indoors	"
"B00000070_21I6LU_20150527_083910E	2015-05-27_08-39-09	Indoors	"
"B00000071_21I6LU_20150527_084008E	2015-05-27_08-39-44	Indoors	"
"B00000072_21I6LU_20150527_084009E	2015-05-27_08-39-47	Indoors	"
"B00000073_21I6LU_20150527_084010E	2015-05-27_08-39-50	Indoors	"
"B00000074_21I6LU_20150527_084011E	2015-05-27_08-39-53	Indoors	"
"B00000075_21I6LU_20150527_084012E	2015-05-27_08-39-56	Indoors	"
"B00000076_21I6LU_20150527_084013E	2015-05-27_08-39-59	Indoors	"
"B00000077_21I6LU_20150527_084014E	2015-05-27_08-40-02	Indoors	"
"B00000078_21I6LU_20150527_084015E	2015-05-27_08-40-04	Indoors	"
"B00000079_21I6LU_20150527_084016E	2015-05-27_08-40-07	Indoors	"
"B00000080_21I6LU_20150527_084023E	2015-05-27_08-40-23	Indoors	"
"B00000081_21I6LU_20150527_084056E	2015-05-27_08-40-55	Indoors	"
"B00000082_21I6LU_20150527_084131E	2015-05-27_08-41-31	Indoors	"
"B00000083_21I6LU_20150527_084208E	2015-05-27_08-42-08	Indoors	"
"B00000084_21I6LU_20150527_084245E	2015-05-27_08-42-45	Indoors	"
"B00000085_21I6LU_20150527_084326E	2015-05-27_08-43-26	Indoors	"
"B00000086_21I6LU_20150527_084404E	2015-05-27_08-44-04	Indoors	"
"B00000087_21I6LU_20150527_084445E	2015-05-27_08-44-45	Indoors	"
"B00000088_21I6LU_20150527_084521E	2015-05-27_08-45-21	Indoors	"
"B00000089_21I6LU_20150527_084559E	2015-05-27_08-45-59	Indoors	"
"B00000090_21I6LU_20150527_084632E	2015-05-27_08-46-32	Indoors	"
"B00000091_21I6LU_20150527_084704E	2015-05-27_08-47-04	Indoors	"
"B00000092_21I6LU_20150527_084735E	2015-05-27_08-47-35	Indoors	"
"B00000093_21I6LU_20150527_084805E	2015-05-27_08-48-05	Indoors	"
"B00000094_21I6LU_20150527_084836E	2015-05-27_08-48-36	Indoors	"
"B00000095_21I6LU_20150527_084911E	2015-05-27_08-49-11	Indoors	"
"B00000096_21I6LU_20150527_084945E	2015-05-27_08-49-44	Outdoors	"
"B00000097_21I6LU_20150527_085025E	2015-05-27_08-50-25	Indoors	"
"B00000098_21I6LU_20150527_085058E	2015-05-27_08-50-57	Indoors	"
"B00000099_21I6LU_20150527_085133E	2015-05-27_08-51-32	Indoors	"
"B00000100_21I6LU_20150527_085214E	2015-05-27_08-52-14	Indoors	"
"B00000101_21I6LU_20150527_085248E	2015-05-27_08-52-48	Indoors	"
"B00000102_21I6LU_20150527_085321E	2015-05-27_08-53-21	Indoors	"
"B00000103_21I6LU_20150527_085400E	2015-05-27_08-54-00	Indoors	"
"B00000104_21I6LU_20150527_085433E	2015-05-27_08-54-32	Indoors	"
"B00000105_21I6LU_20150527_085504E	2015-05-27_08-55-04	Outdoors	"
"B00000106_21I6LU_20150527_085542E	2015-05-27_08-55-42	Outdoors	"
"B00000107_21I6LU_20150527_085615E	2015-05-27_08-56-15	Outdoors	"
"B00000108_21I6LU_20150527_085656E	2015-05-27_08-56-56	Outdoors	"
"B00000109_21I6LU_20150527_085735E	2015-05-27_08-57-35	Outdoors	"
"B00000110_21I6LU_20150527_085808E	2015-05-27_08-58-08	Outdoors	"
"B00000111_21I6LU_20150527_085847E	2015-05-27_08-58-47	Outdoors	"
"B00000112_21I6LU_20150527_085924E	2015-05-27_08-59-24	Outdoors	"
"B00000113_21I6LU_20150527_090005E	2015-05-27_09-00-05	Outdoors	"
"B00000114_21I6LU_20150527_090040E	2015-05-27_09-00-40	Outdoors	"
"B00000115_21I6LU_20150527_090115E	2015-05-27_09-01-15	Outdoors	"
"B00000116_21I6LU_20150527_090156E	2015-05-27_09-01-56	Outdoors	"
"B00000117_21I6LU_20150527_090229E	2015-05-27_09-02-29	Outdoors	"
"B00000118_21I6LU_20150527_090302E	2015-05-27_09-03-02	Outdoors	"
"B00000119_21I6LU_20150527_090341E	2015-05-27_09-03-41	Outdoors	"
"B00000120_21I6LU_20150527_090415E	2015-05-27_09-04-14	Outdoors	"
"B00000121_21I6LU_20150527_090453E	2015-05-27_09-04-53	Outdoors	"
"B00000122_21I6LU_20150527_090526E	2015-05-27_09-05-26	Outdoors	"
"B00000123_21I6LU_20150527_090559E	2015-05-27_09-05-59	Outdoors	"
"B00000124_21I6LU_20150527_090636E	2015-05-27_09-06-36	Outdoors	"
"B00000125_21I6LU_20150527_090715E	2015-05-27_09-07-15	Outdoors	"
"B00000126_21I6LU_20150527_090752E	2015-05-27_09-07-52	Outdoors	"
"B00000127_21I6LU_20150527_090829E	2015-05-27_09-08-29	Outdoors	"
"B00000128_21I6LU_20150527_090910E	2015-05-27_09-09-10	Outdoors	"
"B00000129_21I6LU_20150527_090951E	2015-05-27_09-09-51	Outdoors	"
"B00000130_21I6LU_20150527_091029E	2015-05-27_09-10-28	Indoors	"
"B00000131_21I6LU_20150527_091103E	2015-05-27_09-11-03	Indoors	"
"B00000132_21I6LU_20150527_091141E	2015-05-27_09-11-40	Outdoors	"
"B00000133_21I6LU_20150527_091217E	2015-05-27_09-12-17	Outdoors	"
"B00000134_21I6LU_20150527_091257E	2015-05-27_09-12-57	Indoors	"
"B00000135_21I6LU_20150527_091333E	2015-05-27_09-13-33	Indoors	"
"B00000136_21I6LU_20150527_091413E	2015-05-27_09-14-13	Outdoors	"
"B00000137_21I6LU_20150527_091448E	2015-05-27_09-14-48	Outdoors	"
"B00000138_21I6LU_20150527_091529E	2015-05-27_09-15-29	Outdoors	"
"B00000139_21I6LU_20150527_091607E	2015-05-27_09-16-07	Outdoors	"
"B00000140_21I6LU_20150527_091644E	2015-05-27_09-16-44	Outdoors	"
"B00000141_21I6LU_20150527_091716E	2015-05-27_09-17-16	Outdoors	"
"B00000142_21I6LU_20150527_091753E	2015-05-27_09-17-53	Outdoors	"
"B00000143_21I6LU_20150527_091828E	2015-05-27_09-18-28	Outdoors	"
"B00000144_21I6LU_20150527_091901E	2015-05-27_09-19-01	Outdoors	"
"B00000145_21I6LU_20150527_091942E	2015-05-27_09-19-42	Outdoors	"
"B00000146_21I6LU_20150527_092023E	2015-05-27_09-20-23	Outdoors	"
"B00000147_21I6LU_20150527_092102E	2015-05-27_09-21-02	Outdoors	"
"B00000148_21I6LU_20150527_092139E	2015-05-27_09-21-39	Outdoors	"
"B00000149_21I6LU_20150527_092212E	2015-05-27_09-22-12	Outdoors	"
"B00000150_21I6LU_20150527_092250E	2015-05-27_09-22-50	Outdoors	"
"B00000151_21I6LU_20150527_092331E	2015-05-27_09-23-31	Outdoors	"
"B00000152_21I6LU_20150527_092411E	2015-05-27_09-24-11	Outdoors	"
"B00000153_21I6LU_20150527_092448E	2015-05-27_09-24-48	Outdoors	"
"B00000154_21I6LU_20150527_092520E	2015-05-27_09-25-20	Outdoors	"
"B00000155_21I6LU_20150527_092557E	2015-05-27_09-25-57	Outdoors	"
"B00000156_21I6LU_20150527_092630E	2015-05-27_09-26-30	Outdoors	"
"B00000157_21I6LU_20150527_092706E	2015-05-27_09-27-06	Outdoors	"
"B00000158_21I6LU_20150527_092741E	2015-05-27_09-27-41	Outdoors	"
"B00000159_21I6LU_20150527_092821E	2015-05-27_09-28-21	Outdoors	"
"B00000160_21I6LU_20150527_092902E	2015-05-27_09-29-02	Outdoors	"
"B00000161_21I6LU_20150527_092943E	2015-05-27_09-29-43	Outdoors	"
"B00000162_21I6LU_20150527_093016E	2015-05-27_09-30-16	Outdoors	"
"B00000163_21I6LU_20150527_093055E	2015-05-27_09-30-55	Outdoors	"
"B00000164_21I6LU_20150527_093130E	2015-05-27_09-31-30	Outdoors	"
"B00000165_21I6LU_20150527_093205E	2015-05-27_09-32-05	Outdoors	"
"B00000166_21I6LU_20150527_093244E	2015-05-27_09-32-44	Outdoors	"
"B00000167_21I6LU_20150527_093321E	2015-05-27_09-33-21	Outdoors	"
"B00000168_21I6LU_20150527_093402E	2015-05-27_09-34-02	Outdoors	"
"B00000169_21I6LU_20150527_093437E	2015-05-27_09-34-37	Outdoors	"
"B00000170_21I6LU_20150527_093514E	2015-05-27_09-35-14	Outdoors	"
"B00000171_21I6LU_20150527_093549E	2015-05-27_09-35-49	Outdoors	"
"B00000172_21I6LU_20150527_093622E	2015-05-27_09-36-22	Outdoors	"
"B00000173_21I6LU_20150527_093658E	2015-05-27_09-36-58	Outdoors	"
"B00000174_21I6LU_20150527_093736E	2015-05-27_09-37-36	Outdoors	"
"B00000175_21I6LU_20150527_093809E	2015-05-27_09-38-09	Outdoors	"
"B00000176_21I6LU_20150527_093844E	2015-05-27_09-38-44	Outdoors	"
"B00000177_21I6LU_20150527_093916E	2015-05-27_09-39-16	Outdoors	"
"B00000178_21I6LU_20150527_093951E	2015-05-27_09-39-51	Outdoors	"
"B00000179_21I6LU_20150527_094025E	2015-05-27_09-40-24	Indoors	"
"B00000180_21I6LU_20150527_094103E	2015-05-27_09-41-03	Indoors	"
"B00000181_21I6LU_20150527_094135E	2015-05-27_09-41-35	Indoors	"
"B00000182_21I6LU_20150527_094208E	2015-05-27_09-42-07	Outdoors	"
"B00000183_21I6LU_20150527_094242E	2015-05-27_09-42-42	Outdoors	"
"B00000184_21I6LU_20150527_094321E	2015-05-27_09-43-21	Outdoors	"
"B00000185_21I6LU_20150527_094354E	2015-05-27_09-43-54	Outdoors	"
"B00000186_21I6LU_20150527_094433E	2015-05-27_09-44-33	Outdoors	"
"B00000187_21I6LU_20150527_094506E	2015-05-27_09-45-06	Outdoors	"
"B00000188_21I6LU_20150527_094543E	2015-05-27_09-45-43	Outdoors	"
"B00000189_21I6LU_20150527_094620E	2015-05-27_09-46-20	Outdoors	"
"B00000190_21I6LU_20150527_094701E	2015-05-27_09-47-01	Outdoors	"
"B00000191_21I6LU_20150527_094734E	2015-05-27_09-47-34	Outdoors	"
"B00000192_21I6LU_20150527_094811E	2015-05-27_09-48-11	Outdoors	"
"B00000193_21I6LU_20150527_094846E	2015-05-27_09-48-46	Outdoors	"
"B00000194_21I6LU_20150527_094921E	2015-05-27_09-49-21	Outdoors	"
"B00000195_21I6LU_20150527_095000E	2015-05-27_09-50-00	Outdoors	"
"B00000196_21I6LU_20150527_095039E	2015-05-27_09-50-39	Outdoors	"
"B00000197_21I6LU_20150527_095112E	2015-05-27_09-51-12	Outdoors	"
"B00000198_21I6LU_20150527_095147E	2015-05-27_09-51-47	Outdoors	"
"B00000199_21I6LU_20150527_095228E	2015-05-27_09-52-28	Outdoors	"
"B00000200_21I6LU_20150527_095307E	2015-05-27_09-53-07	Outdoors	"
"B00000201_21I6LU_20150527_095346E	2015-05-27_09-53-46	Outdoors	"
"B00000202_21I6LU_20150527_095419E	2015-05-27_09-54-19	Outdoors	"
"B00000203_21I6LU_20150527_095500E	2015-05-27_09-55-00	Outdoors	"
"B00000204_21I6LU_20150527_095537E	2015-05-27_09-55-37	Outdoors	"
"B00000205_21I6LU_20150527_095615E	2015-05-27_09-56-15	Outdoors	"
"B00000206_21I6LU_20150527_095654E	2015-05-27_09-56-53	Indoors	"
"B00000207_21I6LU_20150527_095728E	2015-05-27_09-57-28	Indoors	"
"B00000208_21I6LU_20150527_095803E	2015-05-27_09-58-03	Indoors	"
"B00000209_21I6LU_20150527_095838E	2015-05-27_09-58-38	Indoors	"
"B00000210_21I6LU_20150527_095909E	2015-05-27_09-59-09	Indoors	"
"B00000211_21I6LU_20150527_095940E	2015-05-27_09-59-40	Indoors	"
"B00000212_21I6LU_20150527_100011E	2015-05-27_10-00-11	Indoors	"
"B00000213_21I6LU_20150527_100041E	2015-05-27_10-00-41	Indoors	"
"B00000214_21I6LU_20150527_100111E	2015-05-27_10-01-11	Indoors	"
"B00000215_21I6LU_20150527_100142E	2015-05-27_10-01-42	Indoors	"
"B00000216_21I6LU_20150527_100212E	2015-05-27_10-02-12	Indoors	"
"B00000217_21I6LU_20150527_100246E	2015-05-27_10-02-45	Indoors	"
"B00000218_21I6LU_20150527_100320E	2015-05-27_10-03-20	Indoors	"
"B00000219_21I6LU_20150527_100352E	2015-05-27_10-03-52	Indoors	"
"B00000220_21I6LU_20150527_100431E	2015-05-27_10-04-31	Indoors	"
"B00000221_21I6LU_20150527_100509E	2015-05-27_10-05-09	Indoors	"
"B00000222_21I6LU_20150527_100550E	2015-05-27_10-05-50	Indoors	"
"B00000223_21I6LU_20150527_100630E	2015-05-27_10-06-29	Indoors	"
"B00000224_21I6LU_20150527_100701E	2015-05-27_10-07-01	Indoors	"
"B00000225_21I6LU_20150527_100735E	2015-05-27_10-07-35	Indoors	"
"B00000226_21I6LU_20150527_100809E	2015-05-27_10-08-08	Indoors	"
"B00000227_21I6LU_20150527_100842E	2015-05-27_10-08-42	Indoors	"
"B00000228_21I6LU_20150527_100915E	2015-05-27_10-09-15	Indoors	"
"B00000229_21I6LU_20150527_100953E	2015-05-27_10-09-53	Indoors	"
"B00000230_21I6LU_20150527_101027E	2015-05-27_10-10-27	Indoors	"
"B00000231_21I6LU_20150527_101058E	2015-05-27_10-10-58	Indoors	"
"B00000232_21I6LU_20150527_101128E	2015-05-27_10-11-28	Indoors	"
"B00000233_21I6LU_20150527_101203E	2015-05-27_10-12-03	Indoors	"
"B00000234_21I6LU_20150527_101234E	2015-05-27_10-12-34	Indoors	"
"B00000235_21I6LU_20150527_101305E	2015-05-27_10-13-05	Indoors	"
"B00000236_21I6LU_20150527_101337E	2015-05-27_10-13-36	Indoors	"
"B00000237_21I6LU_20150527_101413E	2015-05-27_10-14-13	Indoors	"
"B00000238_21I6LU_20150527_101452E	2015-05-27_10-14-52	Indoors	"
"B00000239_21I6LU_20150527_101533E	2015-05-27_10-15-32	Indoors	"
"B00000240_21I6LU_20150527_101604E	2015-05-27_10-16-04	Indoors	"
"B00000241_21I6LU_20150527_101641E	2015-05-27_10-16-41	Indoors	"
"B00000242_21I6LU_20150527_101721E	2015-05-27_10-17-20	Indoors	"
"B00000243_21I6LU_20150527_101757E	2015-05-27_10-17-57	Indoors	"
"B00000244_21I6LU_20150527_101834E	2015-05-27_10-18-34	Indoors	"
"B00000245_21I6LU_20150527_101910E	2015-05-27_10-19-09	Indoors	"
